locationID,sensor,stationID,yCH1903+,xCH1903+,latDecimal,lonDecimal,masl,streetName,poleNumber,distance_to_building_m,shade,LCZ,installationDate,functionCheck,notes
O14,Barani,2211LH034,2685360.0,1247295.0,47.37096,8.5688,529,Sonnenbergstrasse,35,5,,6,2023-03-15 15:15:00,,"Strasse wurde zur Zeit der Montage saniert, Filtereinsatz konnte nicht entfernt werden darum LoRain durch Barani ausgetauscht "
O17,LoRain,03400112,2685563.0,1245880.0,47.35821,8.57121,449,Forchstrasse,"78,3",20,,5(6),2019-07-01 12:05:00,,"Verschiebung um 90m nach Osten, Kommunikationsprobleme, entfernt am 14.05.2024 und ersetzt mit Barani 2401LH037"
O17,Barani,2401LH037,2685563.0,1245880.0,47.35821,8.57121,449,Forchstrasse,"78,3",20,,5(6),2024-05-14 14:45:00,ok,
P4,LoRain,0340010A,2685244.0,1252368.0,47.4166,8.56823,427,Opfikonstrasse,31,0,,9,2019-06-19 10:30:00,,
P7,LoRain,0340012B,2685418.0,1250853.0,47.40295,8.57024,444,Hüttenkopfstrasse,4,5,,6(5),2019-06-19 10:00:00,,"Batterieprobleme, entfernt und ersetzt am 31.01.2024 mit Barani 2401LH040"
P7,Barani,2401LH040,2685418.0,1250853.0,47.40295,8.57024,444,Hüttenkopfstrasse,4,5,,6(5),2024-01-31 15:00:00,,
P13,LoRain,0340011F,2685812.0,1248008.0,47.37731,8.57492,600,Adlisbergstrasse,2,150,,A,2019-07-01 15:05:00,,"""Verschiebung um 150m nach Norden """
P16,LoRain,03400126,2685829.0,1246490.0,47.36366,8.57485,498,Witikonerstrasse,,80,,A,2019-07-01 11:50:00,,
P16,Barani,2211LH023,2685829.0,1246490.0,47.36366,8.57485,498,Witikonerstrasse,,80,,A,2023-03-16 11:15:00,,LoRain ersetzt durch Barani
P19,LoRain,034000E9,2686055.0,1244931.0,47.34961,8.57754,486,Witellikerstrasse,17,10,,6,2019-07-01 10:00:00,,"Kommunikationsprobleme, ersetzt mit Barani 2401LH047"
P19,Barani,2401LH047,2686055.0,1244931.0,47.34961,8.57754,486,Witellikerstrasse,17,10,,6,2024-08-22 12:00:00,,
Q6,LoRain,034000F9,268589508.0,125146856.0,47.408441,8.876689,428,Luegislandstrasse,38,8,,5,2024-08-22 08:30:00,,Verschiebung um 60 m Nord/Ost an Luegislandstrasse
Q18,LoRain,0340011D,2686570.0,1245486.0,47.35453,8.58447,551,Drusbergstrasse,28,20,,6(B),2019-07-01 10:20:00,,
Q18,LoRain,0340AA4B,2686570.0,1245486.0,47.35453,8.58447,551,Drusbergstrasse,28,20,,6(B),2020-10-14 15:48:00,,
Q18,Barani,2212LH034,2686570.0,1245486.0,47.35453,8.58447,551,Drusbergstrasse,28,20,,6(B),2023-03-16 10:30:00,,LoRain ersetzt durch Barani
R8,LoRain,034000EB,2686451.0,1250455.0,47.39924,8.58385,451,Stettbachstrasse,35,15,,6,2019-06-19 09:35:00,,
R17,LoRain,034000D7,2686977.0,1246030.0,47.35937,8.58996,602,Lehfrauenweg,3,5,,6(5),2019-07-01 10:40:00,,"""Privatstrasse, laut Anwohner auch Laterne Privat, aber OK "", Reboot 16.03.23"
S7,LoRain,034000E7,2686886.0,1251059.0,47.40461,8.58973,428,Weibelackerweg,37,20,Hochspannungsleitung,5,2019-06-19 09:15:00,,
S7,Barani,2212LH029,2686886.0,1251059.0,47.40461,8.58973,428,Weibelackerweg,37,20,Hochspannungsleitung,5,2023-03-17 16:30:00,,LoRain ersetzt durch Barani da beschädigt gemäss Bilder
S7,Barani,2212LH023,2686886.0,1251059.0,47.40461,8.58973,428,Weibelackerweg,37,20,Hochspannungsleitung,5,2023-04-24 16:30:00,,"Barani ersetzt, da reboot nicht funktioniert hat"
S16,LoRain,03400108,2687380.0,1246623.0,47.36465,8.59541,611,In der Looren,11,5,Laterne,,2019-07-01 11:00:00,,
T18,LoRain,034000FC,2688029.0,1245620.0,47.35555,8.6038,632,Kienastenwiesweg,10,10,,5,2019-07-01 11:25:00,,
Zürich-Affoltern,LoRain,03400119,2681472.0,1253542.0,47.42763,8.51846,443,Reckenholzstrasse,42,70,,9,2019-06-20 09:40:00,,"""40m von der MeteoSchwiez-Referenzstation entfernt """
Zürich-Affoltern,LoRain,0340011E,2681472.0,1253542.0,47.42763,8.51846,443,Reckenholzstrasse,42,70,,9,2022-03-29 12:30:00,,"""40m von der MeteoSchwiez-Referenzstation entfernt """
